Tempo (s);Soma de CPU (m);Média de CPU (m);DesvPad de CPU (m);Média de CPU;DesvPad de CPU;Soma de MEMORY (bytes);Média de MEMORY (bytes);DesvPad de MEMORY (bytes);Média de MEMORY;DesvPad de MEMORY
505;313156;590.8603774;2566.626944;10.98;9.92;1011567;1908.616981;3846.080244;34.62;8.86
510;313156;590.8603774;2566.626944;10.98;9.92;1011567;1908.616981;3846.080244;34.62;8.86
515;312766;590.1245283;2561.321787;10.97;9.91;1011735;1908.933962;3846.459778;34.62;8.86
520;312925;590.4245283;2563.592274;10.98;9.91;1011730;1908.924528;3846.474016;34.62;8.85
525;313239;591.0169811;2553.982581;11.01;9.87;1011801;1909.058491;3846.910664;34.62;8.85
530;311221;587.209434;2521.61413;11.00;9.73;1012146;1909.709434;3847.756493;34.64;8.86
535;311221;587.209434;2521.61413;11.00;9.73;1012146;1909.709434;3847.756493;34.64;8.86
540;311221;587.209434;2521.61413;11.00;9.73;1012146;1909.709434;3847.756493;34.64;8.86
545;309322;583.6264151;2500.103422;10.97;9.64;1012074;1909.573585;3847.915402;34.64;8.86
550;310207;585.2962264;2510.715525;10.98;9.68;1012082;1909.588679;3847.901641;34.64;8.86
555;310207;585.2962264;2510.715525;10.98;9.68;1012082;1909.588679;3847.901641;34.64;8.86
560;308904;582.8377358;2490.32931;10.99;9.59;1012119;1909.658491;3847.825649;34.64;8.86
565;308904;582.8377358;2490.32931;10.99;9.59;1012119;1909.658491;3847.825649;34.64;8.86
570;308367;581.8245283;2481.787857;11.00;9.55;1012379;1910.149057;3848.171568;34.65;8.86
575;308367;581.8245283;2481.787857;11.00;9.55;1012379;1910.149057;3848.171568;34.65;8.86
580;307592;580.3622642;2469.021124;11.05;9.70;1012547;1910.466038;3848.012212;34.66;8.85
585;307048;579.3358491;2463.154438;11.06;9.68;1012818;1910.977358;3848.571421;34.67;8.85
590;307048;579.3358491;2463.154438;11.06;9.68;1012818;1910.977358;3848.571421;34.67;8.85
595;307048;579.3358491;2463.154438;11.06;9.68;1012818;1910.977358;3848.571421;34.67;8.85
600;307256;579.7283019;2466.083208;11.07;9.69;1012903;1911.137736;3848.663159;34.68;8.86
605;306821;578.9075472;2462.006434;11.05;9.68;1012904;1911.139623;3848.704371;34.68;8.86
610;306821;578.9075472;2462.006434;11.05;9.68;1012904;1911.139623;3848.704371;34.68;8.86
615;306821;578.9075472;2462.006434;11.05;9.68;1012904;1911.139623;3848.704371;34.68;8.86
620;307477;580.145283;2473.548884;11.05;9.72;1012836;1911.011321;3848.783484;34.67;8.86
625;307609;580.3943396;2472.686278;11.07;9.72;1012838;1911.015094;3848.799999;34.67;8.86
630;308010;581.1509434;2470.65293;11.06;9.72;1012989;1911.3;3848.820236;34.68;8.87
635;309372;583.7207547;2491.939639;11.09;9.80;1013127;1911.560377;3849.226045;34.68;8.87
640;309372;583.7207547;2491.939639;11.09;9.80;1013127;1911.560377;3849.226045;34.68;8.87
645;309796;584.5207547;2497.388635;11.09;9.81;1013190;1911.679245;3849.810474;34.68;8.87
650;309796;584.5207547;2497.388635;11.09;9.81;1013190;1911.679245;3849.810474;34.68;8.87
655;304900;575.2830189;2446.574864;11.01;9.62;1012656;1910.671698;3850.088489;34.65;8.87
660;304611;574.7377358;2441.47233;11.02;9.59;1012677;1910.711321;3850.037915;34.65;8.86
665;304611;574.7377358;2441.47233;11.02;9.59;1012677;1910.711321;3850.037915;34.65;8.86
670;304611;574.7377358;2441.47233;11.02;9.59;1012677;1910.711321;3850.037915;34.65;8.86
675;304625;574.7641509;2430.973628;11.10;9.76;1012650;1910.660377;3850.101908;34.65;8.86
680;305599;576.6018868;2445.208594;11.09;9.81;1012643;1910.64717;3850.073825;34.65;8.86
685;303949;573.4886792;2442.959376;10.99;9.60;1012526;1910.426415;3850.253754;34.65;8.85
690;303227;572.1264151;2435.377883;10.98;9.58;1012540;1910.45283;3850.1106;34.65;8.85
695;303227;572.1264151;2435.377883;10.98;9.58;1012540;1910.45283;3850.1106;34.65;8.85
700;303784;573.1773585;2442.709766;10.99;9.62;1012504;1910.384906;3850.121516;34.64;8.85
705;303784;573.1773585;2442.709766;10.99;9.62;1012504;1910.384906;3850.121516;34.64;8.85
710;302641;571.0207547;2433.066765;10.97;9.59;1012496;1910.369811;3850.109754;34.64;8.85
715;302641;571.0207547;2433.066765;10.97;9.59;1012496;1910.369811;3850.109754;34.64;8.85
720;302748;571.2226415;2431.251395;10.97;9.59;1012474;1910.328302;3850.103113;34.64;8.85
725;302748;571.2226415;2431.251395;10.97;9.59;1012474;1910.328302;3850.103113;34.64;8.85
730;301172;568.2490566;2420.685622;10.88;9.34;1012420;1910.226415;3849.957971;34.64;8.85
735;301797;569.4283019;2420.265122;10.89;9.34;1012435;1910.254717;3850.057284;34.64;8.85
740;301212;568.3245283;2413.72724;10.88;9.31;1012827;1910.99434;3855.698738;34.64;8.85
745;301512;568.890566;2406.085738;10.93;9.33;1012766;1910.879245;3856.00554;34.64;8.85
750;301512;568.890566;2406.085738;10.93;9.33;1012766;1910.879245;3856.00554;34.64;8.85
755;303833;573.2698113;2441.40329;10.94;9.47;1012778;1910.901887;3856.000742;34.64;8.85
760;303833;573.2698113;2441.40329;10.94;9.47;1012778;1910.901887;3856.000742;34.64;8.85
765;303893;573.3830189;2439.203088;10.95;9.46;1013550;1912.358491;3857.674305;34.67;8.87
770;303893;573.3830189;2439.203088;10.95;9.46;1013550;1912.358491;3857.674305;34.67;8.87
775;304017;573.6169811;2441.008539;10.97;9.46;1013474;1912.215094;3857.820233;34.67;8.87
780;304017;573.6169811;2441.008539;10.97;9.46;1013474;1912.215094;3857.820233;34.67;8.87
785;304570;574.6603774;2449.988496;10.94;9.50;1013422;1912.116981;3858.013812;34.66;8.86
790;303532;572.7018868;2441.929888;10.96;9.49;1013557;1912.371698;3857.896966;34.67;8.86
795;302974;571.6490566;2434.697853;10.94;9.47;1013858;1912.939623;3861.844323;34.67;8.86
800;301747;569.3339623;2424.994604;10.89;9.38;1013850;1912.924528;3861.911297;34.67;8.86
805;301417;568.7113208;2419.644196;10.89;9.37;1013827;1912.881132;3861.787972;34.67;8.86
810;301417;568.7113208;2419.644196;10.89;9.37;1013827;1912.881132;3861.787972;34.67;8.86
815;298273;562.7792453;2362.822779;10.94;9.33;1014093;1913.383019;3861.984511;34.68;8.86
820;298273;562.7792453;2362.822779;10.94;9.33;1014093;1913.383019;3861.984511;34.68;8.86
825;297031;560.4358491;2351.4098;10.95;9.30;1014081;1913.360377;3861.808864;34.68;8.86
830;295070;556.7358491;2328.999513;10.90;9.22;1013986;1913.181132;3861.744128;34.67;8.87
835;295070;556.7358491;2328.999513;10.90;9.22;1013986;1913.181132;3861.744128;34.67;8.87
840;295070;556.7358491;2328.999513;10.90;9.22;1013986;1913.181132;3861.744128;34.67;8.87
845;301673;569.1943396;2329.255227;11.50;9.63;1014000;1913.207547;3861.621328;34.68;8.86
850;302138;570.0716981;2336.700132;11.52;9.66;1014028;1913.260377;3862.133641;34.68;8.86
855;301941;569.7;2330.768012;11.50;9.62;1013838;1912.901887;3862.353803;34.67;8.86
860;302221;570.2283019;2334.927457;11.50;9.64;1013878;1912.977358;3862.374825;34.67;8.86
865;302221;570.2283019;2334.927457;11.50;9.64;1013878;1912.977358;3862.374825;34.67;8.86
870;300910;567.754717;2330.012034;11.42;9.43;1013777;1912.786792;3862.345844;34.67;8.86
875;300910;567.754717;2330.012034;11.42;9.43;1013777;1912.786792;3862.345844;34.67;8.86
880;302199;570.1867925;2340.101876;11.44;9.46;1013794;1912.818868;3862.33996;34.67;8.86
885;302765;571.254717;2347.002433;11.45;9.49;1013859;1912.941509;3862.859878;34.67;8.86
890;302765;571.254717;2347.002433;11.45;9.49;1013859;1912.941509;3862.859878;34.67;8.86
895;295901;558.3037736;2347.444578;10.85;9.05;1013578;1912.411321;3863.021172;34.66;8.85
900;294932;556.4754717;2333.959551;10.84;9.00;1013630;1912.509434;3863.395727;34.66;8.86
