Rótulos de Linha;cu Média de CPU(milicores);du Média de CPU(milicores);ru Média de CPU(milicores);cu DesvPad de CPU(milicores);du DesvPad de CPU(milicores);ru DesvPad de CPU(milicores);cu Média de MEMORY(Mi);du Média de MEMORY(Mi);ru Média de MEMORY(Mi);cu DesvPad de MEMORY(Mi);du DesvPad de MEMORY(Mi);ru DesvPad de MEMORY(Mi);Total Média de CPU(milicores);Total DesvPad de CPU(milicores);Total Média de MEMORY(Mi);Total DesvPad de MEMORY(Mi)
715;0.083673469;301.9163265;57.11632653;0.277180472;149.0963892;19.36498904;120.7163265;421.2040816;80.83673469;0.494487791;18.83061901;11.91542613;119.7054422;157.095106;207.5857143;152.5206828
720;0.083673469;302.0265306;57.14285714;0.277180472;149.1343163;19.34679737;120.7163265;421.2040816;80.83673469;0.494487791;18.83061901;11.91542613;119.7510204;157.1454536;207.5857143;152.5206828
725;0.083673469;302.0265306;57.14285714;0.277180472;149.1343163;19.34679737;120.7163265;421.2040816;80.83673469;0.494487791;18.83061901;11.91542613;119.7510204;157.1454536;207.5857143;152.5206828
730;0.083673469;302.0428571;57.08367347;0.277180472;149.1231501;19.29809051;120.7163265;421.2061224;80.83877551;0.494487791;18.83075964;11.91622626;119.7367347;157.1541176;207.5870748;152.5210971
735;0.065306122;301.9040816;56.92040816;0.247317734;149.0304487;19.19429746;120.7163265;421.2061224;80.83061224;0.494487791;18.83075964;11.91439651;119.629932;157.0932757;207.5843537;152.5233124
740;0.030612245;301.7142857;56.8755102;0.172440774;148.9270144;19.19895863;120.7163265;421.2061224;80.82244898;0.494487791;18.83075964;11.91256087;119.5401361;157.0020988;207.5816327;152.5255276
745;0.030612245;302.2591837;56.78367347;0.172440774;149.2473283;19.3896157;120.7163265;421.2061224;80.65714286;0.494487791;18.83075964;12.44672902;119.6911565;157.3341732;207.5265306;152.5855594
75;292.6666667;308.4761905;164.3444444;241.1216492;235.9621933;236.0111095;8.683333333;8.682539683;3.166666667;2.721488044;2.699016528;2.009752757;219.7227723;245.6262082;5.405940594;3.563552299
750;0.030612245;302.2591837;56.78367347;0.172440774;149.2473283;19.3896157;120.7163265;421.2061224;80.65714286;0.494487791;18.83075964;12.44672902;119.6911565;157.3341732;207.5265306;152.5855594
755;0.020408163;302.944898;56.74081633;0.141536401;149.5743621;19.38671586;120.7163265;421.2061224;80.65510204;0.494487791;18.83075964;12.44626177;119.9020408;157.7110478;207.5258503;152.5861127
760;0.020408163;302.944898;56.74081633;0.141536401;149.5743621;19.38671586;120.7163265;421.2061224;80.65510204;0.494487791;18.83075964;12.44626177;119.9020408;157.7110478;207.5258503;152.5861127
765;0.016326531;302.6387755;56.93673469;0.126857469;149.3522008;18.84969278;120.7163265;421.4387755;81.79387755;0.494487791;18.94835642;7.977496677;119.8639456;157.4755987;207.9829932;152.2847387
770;0.016326531;302.6387755;56.93673469;0.126857469;149.3522008;18.84969278;120.7163265;421.4387755;81.79387755;0.494487791;18.94835642;7.977496677;119.8639456;157.4755987;207.9829932;152.2847387
775;0.016326531;302.4734694;56.78979592;0.126857469;149.2788127;19.17156151;120.7163265;421.4387755;81.46326531;0.494487791;18.94835642;9.463938528;119.7598639;157.4209651;207.8727891;152.4044885
780;0.016326531;302.4734694;56.78979592;0.126857469;149.2788127;19.17156151;120.7163265;421.4387755;81.46326531;0.494487791;18.94835642;9.463938528;119.7598639;157.4209651;207.8727891;152.4044885
785;0.016326531;301.3428571;56.61020408;0.126857469;149.592756;19.19220131;120.7163265;421.4367347;81.29591837;0.494487791;18.94824178;10.13771147;119.3231293;157.1077198;207.8163265;152.4642609
790;0.016326531;301.2183673;56.50816327;0.126857469;149.5336147;19.21615647;120.7163265;421.4367347;81.29591837;0.494487791;18.94824178;10.13771147;119.247619;157.0554308;207.8163265;152.4642609
795;0.016326531;300.8061224;56.51836735;0.126857469;149.33593;19.20614329;120.7163265;421.4367347;81.29591837;0.494487791;18.94824178;10.13771147;119.1136054;156.8316924;207.8163265;152.4642609
80;307.8395062;312.3717949;201.419214;231.7219485;229.3386941;246.3307732;8.839506173;8.628205128;3.458515284;2.605075767;2.838094177;2.044307345;245.9407216;245.3114755;5.621134021;3.496512364
800;0.016326531;298.9285714;56.46938776;0.126857469;149.1657407;19.20367854;120.7163265;421.4367347;81.29591837;0.494487791;18.94824178;10.13771147;118.4714286;156.0591785;207.8163265;152.4642609
805;0.016326531;299.222449;56.46530612;0.126857469;149.3210863;19.2087824;120.7163265;421.4367347;81.29795918;0.494487791;18.94824178;10.13855928;118.5680272;156.2227091;207.8170068;152.4637148
810;0.016326531;299.222449;56.46530612;0.126857469;149.3210863;19.2087824;120.7163265;421.4367347;81.29795918;0.494487791;18.94824178;10.13855928;118.5680272;156.2227091;207.8170068;152.4637148
